date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:44	32281/32281	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Apr%202020%2012:30:19%20GMT	http://duruthemes.com/demo/html/betty/onepage/index.html	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/index.html	(from )
22:56:44	709/709	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2023%20May%202020%2017:26:45%20GMT	http://duruthemes.com/robots.txt		(from )
22:56:45	272/272	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Feb%202020%2012:21:59%20GMT	http://duruthemes.com/demo/html/betty/onepage/images/favicon.png	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/images/favicon.png	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:56:45	71552/71552	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2021:26:20%20GMT	http://duruthemes.com/demo/html/betty/onepage/css/animate.css	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/css/animate.css	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:56:45	6099/6099	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2021:26:20%20GMT	http://duruthemes.com/demo/html/betty/onepage/css/et-lineicons.css	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/css/et-lineicons.css	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:56:46	16402/16402	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Feb%202019%2021:26:20%20GMT	http://duruthemes.com/demo/html/betty/onepage/css/themify-icons.css	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/css/themify-icons.css	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:56:46	140960/140960	---M-Z	200	added ('OK')	text/css	date:Sat,%2028%20Dec%202019%2019:56:49%20GMT	http://duruthemes.com/demo/html/betty/onepage/css/bootstrap.css	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/css/bootstrap.css	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:56:46	3359/3359	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Jan%202020%2015:25:51%20GMT	http://duruthemes.com/demo/html/betty/onepage/css/flaticon.css	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/css/flaticon.css	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:56:46	7782/7782	---M-Z	200	added ('OK')	text/css	date:Sat,%2008%20Feb%202020%2013:27:32%20GMT	http://duruthemes.com/demo/html/betty/onepage/css/magnific-popup.css	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/css/magnific-popup.css	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
22:56:47	3269/3269	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Jul%202019%2008:33:38%20GMT	http://duruthemes.com/demo/html/betty/onepage/css/owl.carousel.min.css	D:/Websites/charmingchaya/duruthemes.com/demo/html/betty/onepage/css/owl.carousel.min.css	(from http://duruthemes.com/demo/html/betty/onepage/index.html)
